config,file,testname,total_points,total_bytes,insert_allocation,new_allocation,grow_amortized,grow_one,finish_grow,add_name,tree_new,b_retag,eval_callee,provenance_gc,perform_transition,miri_machine
miri,lib,macros-tests-c_enum_repr,36208,848221016,"{""avg"":847821.8461538461,""avg_top"":178034.06896551725,""bytes"":220433680,""bytes_top"":10325976,""count"":260,""count_top"":58}","{""avg"":322994.5663716814,""avg_top"":335106.9861751152,""bytes"":72996772,""bytes_top"":72718216,""count"":226,""count_top"":217}","{""avg"":766149.0444444445,""avg_top"":1914030.888888889,""bytes"":137906828,""bytes_top"":137810224,""count"":180,""count_top"":72}","{""avg"":80290.12135355892,""avg_top"":41815.0457354759,""bytes"":275234536,""bytes_top"":135313488,""count"":3428,""count_top"":3236}","{""avg"":35474.69963369963,""avg_top"":54885.50602409639,""bytes"":9684593,""bytes_top"":9110994,""count"":273,""count_top"":166}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":106894.59322033898,""avg_top"":0.0,""bytes"":25227124,""bytes_top"":0,""count"":236,""count_top"":0}","{""avg"":114494.42492917847,""avg_top"":12744672.0,""bytes"":40416532,""bytes_top"":25489344,""count"":353,""count_top"":2}","{""avg"":23894.222222222223,""avg_top"":0.0,""bytes"":215048,""bytes_top"":0,""count"":9,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":149504.4203023758,""avg_top"":572815.7218045113,""bytes"":346102733,""bytes_top"":76184491,""count"":2315,""count_top"":133}"
miri,lib,macros-tests-c_enum_vis,36208,850861718,"{""avg"":852887.9384615384,""avg_top"":179419.44827586206,""bytes"":221750864,""bytes_top"":10406328,""count"":260,""count_top"":58}","{""avg"":321993.83406113536,""avg_top"":333900.14545454545,""bytes"":73736588,""bytes_top"":73458032,""count"":229,""count_top"":220}","{""avg"":768920.9555555555,""avg_top"":1920960.6666666667,""bytes"":138405772,""bytes_top"":138309168,""count"":180,""count_top"":72}","{""avg"":80458.376422527,""avg_top"":41816.242274412856,""bytes"":275730856,""bytes_top"":135317360,""count"":3427,""count_top"":3236}","{""avg"":35681.12132352941,""avg_top"":55343.430303030305,""bytes"":9705265,""bytes_top"":9131666,""count"":272,""count_top"":165}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":108798.25423728813,""avg_top"":0.0,""bytes"":25676388,""bytes_top"":0,""count"":236,""count_top"":0}","{""avg"":114209.4245014245,""avg_top"":12847008.0,""bytes"":40087508,""bytes_top"":25694016,""count"":351,""count_top"":2}","{""avg"":24665.777777777777,""avg_top"":0.0,""bytes"":221992,""bytes_top"":0,""count"":9,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":150616.74243733793,""avg_top"":591062.6076923077,""bytes"":348527142,""bytes_top"":76838139,""count"":2314,""count_top"":130}"
miri-tree,lib,macros-tests-c_enum_vis,36518,956713627,"{""avg"":565837.7780821918,""avg_top"":174541.5593220339,""bytes"":206530789,""bytes_top"":10297952,""count"":365,""count_top"":59}","{""avg"":192753.76086956522,""avg_top"":73659.01298701299,""bytes"":62066711,""bytes_top"":5671744,""count"":322,""count_top"":77}","{""avg"":755428.8131868131,""avg_top"":1904970.888888889,""bytes"":137488044,""bytes_top"":137157904,""count"":182,""count_top"":72}","{""avg"":109430.81288863765,""avg_top"":41871.6390605686,""bytes"":387166216,""bytes_top"":135496624,""count"":3538,""count_top"":3236}","{""avg"":361597.91792656586,""avg_top"":468669.2050561798,""bytes"":167419836,""bytes_top"":166846237,""count"":463,""count_top"":356}","{""avg"":17989.960784313724,""avg_top"":17989.960784313724,""bytes"":917488,""bytes_top"":917488,""count"":51,""count_top"":51}","{""avg"":220254.54243542434,""avg_top"":106123.1746031746,""bytes"":59688981,""bytes_top"":6685760,""count"":271,""count_top"":63}","{""avg"":114294.2540106952,""avg_top"":66592.8,""bytes"":42746051,""bytes_top"":2663712,""count"":374,""count_top"":40}","{""avg"":115740.55710306407,""avg_top"":12729312.0,""bytes"":41550860,""bytes_top"":25458624,""count"":359,""count_top"":2}","{""avg"":139605.33333333334,""avg_top"":0.0,""bytes"":1675264,""bytes_top"":0,""count"":12,""count_top"":0}","{""avg"":3118408.296296296,""avg_top"":0.0,""bytes"":84197024,""bytes_top"":0,""count"":27,""count_top"":0}","{""avg"":172483.79152348224,""avg_top"":455069.0578034682,""bytes"":451735050,""bytes_top"":78726947,""count"":2619,""count_top"":173}"
miri-tree,lib,macros-tests-c_enum_set_value,36507,966997471,"{""avg"":567116.5956284154,""avg_top"":175310.77966101695,""bytes"":207564674,""bytes_top"":10343336,""count"":366,""count_top"":59}","{""avg"":192974.18575851392,""avg_top"":73976.93506493507,""bytes"":62330662,""bytes_top"":5696224,""count"":323,""count_top"":77}","{""avg"":772281.0055865921,""avg_top"":1998696.579710145,""bytes"":138238300,""bytes_top"":137910064,""count"":179,""count_top"":69}","{""avg"":112516.79365977923,""avg_top"":41892.44279529994,""bytes"":397521832,""bytes_top"":135480160,""count"":3533,""count_top"":3234}","{""avg"":381984.9935344828,""avg_top"":494866.7731092437,""bytes"":177241037,""bytes_top"":176667438,""count"":464,""count_top"":357}","{""avg"":18067.607843137255,""avg_top"":18067.607843137255,""bytes"":921448,""bytes_top"":921448,""count"":51,""count_top"":51}","{""avg"":221074.9372693727,""avg_top"":106469.58730158731,""bytes"":59911308,""bytes_top"":6707584,""count"":271,""count_top"":63}","{""avg"":114290.95174262735,""avg_top"":66697.2,""bytes"":42630525,""bytes_top"":2667888,""count"":373,""count_top"":40}","{""avg"":111060.91111111111,""avg_top"":12779808.0,""bytes"":39981928,""bytes_top"":25559616,""count"":360,""count_top"":2}","{""avg"":150586.18181818182,""avg_top"":0.0,""bytes"":1656448,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":3459120.592592593,""avg_top"":0.0,""bytes"":93396256,""bytes_top"":0,""count"":27,""count_top"":0}","{""avg"":176518.20405043944,""avg_top"":459882.2965116279,""bytes"":461948140,""bytes_top"":79099755,""count"":2617,""count_top"":172}"
miri,lib,macros-tests-c_enum_set_value,36194,847328481,"{""avg"":845509.6615384616,""avg_top"":177619.3103448276,""bytes"":219832512,""bytes_top"":10301920,""count"":260,""count_top"":58}","{""avg"":322932.33628318587,""avg_top"":335042.1751152074,""bytes"":72982708,""bytes_top"":72704152,""count"":226,""count_top"":217}","{""avg"":775937.3333333334,""avg_top"":1989047.884057971,""bytes"":137340908,""bytes_top"":137244304,""count"":177,""count_top"":69}","{""avg"":80210.40887850468,""avg_top"":41838.22881880025,""bytes"":274640440,""bytes_top"":135304832,""count"":3424,""count_top"":3234}","{""avg"":35256.120437956204,""avg_top"":54410.64670658683,""bytes"":9660177,""bytes_top"":9086578,""count"":274,""count_top"":167}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":105666.61440677966,""avg_top"":0.0,""bytes"":24937321,""bytes_top"":0,""count"":236,""count_top"":0}","{""avg"":114335.4074074074,""avg_top"":12723936.0,""bytes"":40131728,""bytes_top"":25447872,""count"":351,""count_top"":2}","{""avg"":23381.333333333332,""avg_top"":0.0,""bytes"":210432,""bytes_top"":0,""count"":9,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":149466.19412019022,""avg_top"":576189.7196969697,""bytes"":345715307,""bytes_top"":76057043,""count"":2313,""count_top"":132}"
default,lib,macros-tests-c_enum_multiple_set_value,173,79456,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
default,lib,macros-tests-c_enum_vis,174,79260,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
default,lib,macros-tests-c_enum_basic,174,79272,"{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":1088.0,""avg_top"":0.0,""bytes"":8704,""bytes_top"":0,""count"":8,""count_top"":0}","{""avg"":1170.1818181818182,""avg_top"":0.0,""bytes"":12872,""bytes_top"":0,""count"":11,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}"
miri,lib,macros-tests-c_enum_basic,36208,861313947,"{""avg"":878241.7777777778,""avg_top"":186021.37931034484,""bytes"":229221104,""bytes_top"":10789240,""count"":261,""count_top"":58}","{""avg"":340701.7621145375,""avg_top"":355118.63594470045,""bytes"":77339300,""bytes_top"":77060744,""count"":227,""count_top"":217}","{""avg"":788310.8222222222,""avg_top"":1969435.3333333333,""bytes"":141895948,""bytes_top"":141799344,""count"":180,""count_top"":72}","{""avg"":81430.89413823272,""avg_top"":41815.69839307787,""bytes"":279226536,""bytes_top"":135315600,""count"":3429,""count_top"":3236}","{""avg"":35867.27372262774,""avg_top"":55413.377245508986,""bytes"":9827633,""bytes_top"":9254034,""count"":274,""count_top"":167}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":108955.07627118644,""avg_top"":0.0,""bytes"":25713398,""bytes_top"":0,""count"":236,""count_top"":0}","{""avg"":115914.77272727272,""avg_top"":13247712.0,""bytes"":40802000,""bytes_top"":26495424,""count"":352,""count_top"":2}","{""avg"":23816.8,""avg_top"":0.0,""bytes"":238168,""bytes_top"":0,""count"":10,""count_top"":0}","{""avg"":0.0,""avg_top"":0.0,""bytes"":0,""bytes_top"":0,""count"":0,""count_top"":0}","{""avg"":155083.5755613126,""avg_top"":611351.4076923077,""bytes"":359173561,""bytes_top"":79475683,""count"":2316,""count_top"":130}"
miri-tree,lib,macros-tests-c_enum_multiple_set_value,36508,973543976,"{""avg"":586378.4054794521,""avg_top"":181645.28813559323,""bytes"":214028118,""bytes_top"":10717072,""count"":365,""count_top"":59}","{""avg"":200914.11801242235,""avg_top"":76652.77922077922,""bytes"":64694346,""bytes_top"":5902264,""count"":322,""count_top"":77}","{""avg"":793204.2681564246,""avg_top"":2052672.2318840579,""bytes"":141983564,""bytes_top"":141634384,""count"":179,""count_top"":69}","{""avg"":112667.25431400283,""avg_top"":41893.91713048856,""bytes"":398278744,""bytes_top"":135484928,""count"":3535,""count_top"":3234}","{""avg"":377775.6373390558,""avg_top"":488773.9498607242,""bytes"":176043447,""bytes_top"":175469848,""count"":466,""count_top"":359}","{""avg"":18721.13725490196,""avg_top"":18721.13725490196,""bytes"":954778,""bytes_top"":954778,""count"":51,""count_top"":51}","{""avg"":230560.73703703703,""avg_top"":112168.63492063493,""bytes"":62251399,""bytes_top"":7066624,""count"":270,""count_top"":63}","{""avg"":120147.95430107527,""avg_top"":69495.0,""bytes"":44695039,""bytes_top"":2779800,""count"":372,""count_top"":40}","{""avg"":113473.37047353761,""avg_top"":13184736.0,""bytes"":40736940,""bytes_top"":26369472,""count"":359,""count_top"":2}","{""avg"":137424.61538461538,""avg_top"":0.0,""bytes"":1786520,""bytes_top"":0,""count"":13,""count_top"":0}","{""avg"":3130420.5714285714,""avg_top"":0.0,""bytes"":87651776,""bytes_top"":0,""count"":28,""count_top"":0}","{""avg"":178700.1980122324,""avg_top"":475601.97093023255,""bytes"":467479718,""bytes_top"":81803539,""count"":2616,""count_top"":172}"
