config,file,testname,timestamp
default,mod,test_diff,00:00:00:00.175
default,mod,test_diff_u32,00:00:00:00.176
default,mod,test_diff_u64,00:00:00:00.176
default,mod,test_huge,00:00:00:00.161
default,mod,test_huge_uninit,00:00:00:00.164
default,mod,test_multithreading,00:00:00:00.185
default,mod,test_small,00:00:00:00.200
default,mod,test_small_uninit,00:00:00:00.247
default,mod,test_zero,00:00:00:00.176
miri,mod,test_diff,00:00:00:23.157
miri,mod,test_diff_u32,00:00:00:23.972
miri,mod,test_diff_u64,00:00:00:20.649
miri,mod,test_huge,00:00:00:18.042
miri,mod,test_huge_uninit,00:00:00:17.820
miri,mod,test_multithreading,00:00:00:52.885
miri,mod,test_small,00:00:01:54.728
miri,mod,test_small_uninit,00:00:01:53.275
miri,mod,test_zero,00:00:00:17.015
miri-tree,mod,test_diff,00:00:00:36.896
miri-tree,mod,test_diff_u32,00:00:00:34.707
miri-tree,mod,test_diff_u64,00:00:00:28.212
miri-tree,mod,test_huge,00:00:00:23.823
miri-tree,mod,test_huge_uninit,00:00:00:23.333
miri-tree,mod,test_multithreading,00:00:01:10.236
miri-tree,mod,test_small,00:00:03:36.639
miri-tree,mod,test_small_uninit,00:00:03:37.849
miri-tree,mod,test_zero,00:00:00:24.492
