config,file,testname,timestamp
default,mod,test_diff,00:00:00:00.305
default,mod,test_diff_u32,00:00:00:00.293
default,mod,test_diff_u64,00:00:00:00.310
default,mod,test_huge,00:00:00:00.290
default,mod,test_huge_uninit,00:00:00:00.291
default,mod,test_multithreading,00:00:00:00.314
default,mod,test_small,00:00:00:00.305
default,mod,test_small_uninit,00:00:00:00.304
default,mod,test_zero,00:00:00:00.295
miri,mod,test_diff,00:00:00:28.127
miri,mod,test_diff_u32,00:00:00:28.303
miri,mod,test_diff_u64,00:00:00:24.648
miri,mod,test_huge,00:00:00:20.973
miri,mod,test_huge_uninit,00:00:00:21.716
miri,mod,test_multithreading,00:00:00:57.437
miri,mod,test_small,00:00:01:50.058
miri,mod,test_small_uninit,00:00:01:49.135
miri,mod,test_zero,00:00:00:20.904
miri-tree,mod,test_diff,00:00:00:36.586
miri-tree,mod,test_diff_u32,00:00:00:34.262
miri-tree,mod,test_diff_u64,00:00:00:28.895
miri-tree,mod,test_huge,00:00:00:24.779
miri-tree,mod,test_huge_uninit,00:00:00:24.994
miri-tree,mod,test_multithreading,00:00:01:08.331
miri-tree,mod,test_small,00:00:02:55.560
miri-tree,mod,test_small_uninit,00:00:02:58.066
miri-tree,mod,test_zero,00:00:00:24.848
