tree_size,count
1,8549408
2,7342722
3,132767
4,57769
5,57054
6,26191
7,670
8,174
9,89
10,1343
11,97775
12,2555
13,73
14,115
15,424
16,240
17,636
18,75
19,1570
20,15
21,151
22,35
23,27
24,204
25,2627
26,1605
27,84
28,886
29,17
30,1385
31,100
32,9
33,1383
34,1293
35,22
36,69
37,627
38,6
39,9
40,9
41,101
42,54
43,27
44,6
45,19
46,595
47,18
48,7
49,68
50,3
51,22
52,13
53,29
54,1
55,339
56,7
57,5
58,3
59,10
60,54
61,1
62,6
63,512
64,360
65,2570
66,4
67,4
68,6
69,9
70,1285
73,270
75,2
77,2
78,1290
80,3
81,14
82,397
83,49
84,22
85,18
87,11
89,9
90,2
91,214
95,3
96,8
97,13
100,6271
104,3
105,12
106,1
107,4
109,180
111,1
113,8
114,2
115,1
117,2
118,267
119,1
121,7
122,2
123,6
125,7
127,154
128,3
129,14920
131,3
132,1
134,7455
135,1
136,185
137,4
138,6030
140,5
141,4
142,7
143,1
145,145
146,2
147,3
148,1
150,12064
151,3
153,9
154,300
160,2
161,2
163,116
164,4
165,6
166,2
168,1
169,3
171,4
172,154
176,4
177,3
180,2
181,104
185,5
186,1
187,3
189,4
190,175
191,2
193,2
198,1
199,96
200,3
201,5
203,2
204,5
206,516
207,3
208,131
209,1
217,90
219,3
222,4
224,3
225,4
226,187
227,3
231,3
233,1
235,88
240,2
241,1
244,116
245,6
248,3
249,1
250,1
251,2
253,78
255,1
256,1
257,1
259,1
262,139
263,3
265,1
267,4
268,1281
271,78
272,5
273,3
280,105
281,1
282,1
284,1
285,3
287,6
289,69
294,4
296,3
297,1
298,168
299,6
305,1
307,62
309,3
316,90
320,3
321,1
325,58
329,1280
331,6
334,125
339,1
343,54
344,3
345,4
346,1
347,3
352,76
360,517
361,53
363,384
365,3
367,1
368,6
369,3
370,122
377,1
379,47
387,3
388,75
389,3
392,3
393,9
395,1
397,45
405,3
406,82
409,3
410,6030
415,42
416,3
417,1
418,2
424,64
426,3
427,5
429,3
433,40
440,3
442,109
447,3
449,3
451,44
457,1
460,61
464,4
465,3
467,3
469,39
474,1
478,71
487,35
489,1
491,3
496,54
505,38
509,1
513,3
514,86
515,3
521,1
523,32
532,52
535,2
539,3
541,31
550,63
552,1
553,1
557,4
559,32
563,3
568,46
577,30
582,3
586,3087
587,3
593,1
603,1
606,1
633,1
677,1
689,1
690,1
705,1
743,1
753,1
780,1
809,1279
824,3
825,1
837,3
883,1
913,1
1005,2
1023,1
1033,1
1141,64
1153,64
1158,1
1163,1
1177,1
1293,63
1303,1
1343,1
1363,20
1369,1
1421,2
1433,63
1443,1
1449,1
1537,3087
1561,126
1573,63
1577,7455
1583,1
1585,12
1641,1
1713,63
1783,1
1807,6
1851,3
1853,63
1918,2
1985,3087
1993,63
2005,3087
2029,4
2049,2
2057,1
2133,63
2208,1
2251,2
2305,3
2310,1
2339,41
2384,2
2473,4
2737,1
2917,2
3061,2
3117,21
3139,2
3205,1
3583,2
3744,1
3895,12
4105,1
4117,9
4249,2
4339,6
4561,5
4618,1
4783,3
5005,3
5227,2
5449,2
5581,2
5671,2
5893,1
5924,3
6115,1
6337,2
6781,1
7003,1
7225,1
7669,1
7801,2
8113,1
8201,1
8557,1
9223,1
9889,1
10999,1
12331,1
13013,3
13343,1
14092,1
14329,1
14905,2
16993,1
21868,2
21877,1
26731,1
31153,2
31201,1
59617,1
101009,1
230585,1
643716,1
2879115,1
