tree_size,count
1,952753
2,206905
3,113791
4,15546
5,8891
6,733
7,1057
8,75
9,270
10,792
11,760
12,214
13,161
14,144
15,138
16,534
17,753
18,56
19,599
20,38
21,182
22,297
23,75
24,23
25,99
26,118
27,83
28,396
29,55
30,131
31,164
32,12
33,17
34,108
35,28
36,77
37,266
38,6
39,8
40,94
41,110
42,25
43,33
44,6
45,24
46,298
47,18
48,32
49,98
50,3
51,56
52,77
53,29
54,1
55,108
56,61
57,13
58,81
59,40
60,71
61,60
62,6
64,142
65,12
66,69
67,7
68,6
70,106
71,39
73,78
75,2
76,80
77,3
78,20
79,2
80,3
81,42
82,107
83,48
84,22
85,19
86,32
87,12
88,39
90,2
91,116
93,1
94,36
95,3
96,32
97,8
100,84
101,28
104,3
105,1
106,60
107,6
109,54
110,1
111,44
112,30
113,3
114,750
115,2
116,24
117,3
118,72
120,1
121,23
122,2
123,2
124,26
125,12
126,22
127,43
128,4
129,6
130,26
131,26
133,1
136,82
137,1
140,9
141,28
142,60
145,43
146,21
147,3
148,22
151,22
153,6
154,74
156,18
157,1
159,512
160,21
161,19
163,32
164,8
165,6
166,36
170,2
171,21
172,821
175,1
176,19
177,1
178,18
179,1
180,2
181,44
184,18
185,431
186,14
187,3
189,9
190,45
191,37
193,1
196,30
197,2
198,300
199,26
200,3
201,19
202,16
203,2
204,2
206,14
207,3
208,40
211,246
214,16
216,12
217,24
219,3
220,16
221,12
222,3
223,1
224,193
225,3
226,48
227,8
231,15
232,14
235,37
236,12
237,160
238,14
239,1
240,1
241,14
244,34
245,6
246,12
247,1
248,2
249,1
250,152
251,15
253,20
256,26
259,1
260,1
261,10
262,33
263,125
266,10
267,4
268,12
271,32
272,5
273,1
274,12
276,120
280,30
281,11
282,1
285,3
286,22
287,6
289,118
291,10
292,12
293,1
296,13
298,29
299,6
301,13
302,92
304,12
306,10
307,20
309,3
310,12
311,10
313,21
315,84
316,37
320,3
321,8
322,10
325,19
326,1
328,88
331,7
334,108
340,10
341,74
343,14
344,3
345,3
346,10
347,3
352,24
354,68
358,10
361,14
364,10
365,3
367,64
368,6
369,3
370,24
376,10
379,16
380,62
382,10
385,1
387,3
388,22
389,3
392,4
393,70
397,12
405,3
406,66
407,1
409,3
415,12
416,3
418,3
419,52
424,12
426,3
427,5
429,3
430,1
432,50
433,12
440,3
442,13
445,48
447,3
449,3
451,12
458,46
460,12
464,3
465,3
467,3
469,12
471,44
478,10
481,1
482,1
484,42
487,10
489,1
491,3
492,1
495,1
496,10
497,40
505,10
510,40
513,3
514,10
515,3
517,1
522,1
523,48
524,1
532,10
535,21
536,36
539,3
541,10
549,36
550,10
557,3
559,10
562,34
563,3
568,10
575,32
577,10
586,8
587,3
588,32
601,32
610,1
614,32
626,1
627,30
640,28
647,1
653,28
666,28
679,28
683,1
692,28
696,1
705,26
718,24
731,24
744,24
754,3
757,24
769,1
770,24
783,24
784,1
785,1
791,2
796,24
809,24
818,1
821,1
822,22
824,3
835,20
836,1
837,3
839,1
848,21
856,1
861,20
866,1
871,1
874,20
887,20
899,1
900,20
902,1
910,20
911,1
913,20
916,1
926,20
939,20
952,20
953,1
962,1
965,20
971,1
978,18
991,8
1007,1
1030,1
1079,1
1135,1
1157,2
1163,1
1167,1
1187,1
1251,1
1480,1
1487,1
1504,1
1522,1
1537,1
1582,1
1585,1
1851,3
2260,1
2292,1
2360,1
2384,1
2774,2
5001,2
5465,1
5524,2
5924,3
6004,2
7145,1
9010,2
11901,20
13013,3
13119,2
13134,2
23221,1
38706,1
